2024-02-07 22:15:07,874   [  DEBUG     ] example log
2024-02-07 22:15:07,877   [  INFO      ] example log
2024-02-07 22:15:07,877   [  WARNING   ] example log
2024-02-07 22:15:07,878   [  ERROR     ] example log
2024-02-07 22:15:07,878   [  CRITICAL  ] example log
2024-02-08 00:06:11,822   [  DEBUG     ] | MainThread config.py 48 | Config already exists
2024-02-08 00:06:11,822   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:06:11,822   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-08 00:06:11,822   [  INFO      ] | MainThread config.py 66 | Image path: 
2024-02-08 00:06:11,823   [  INFO      ] | MainThread config.py 67 | screen resolution: (0, 0)
2024-02-08 00:06:11,823   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-08 00:06:37,863   [  DEBUG     ] | MainThread config.py 46 | ConfigMeta __call__ called
2024-02-08 00:06:37,863   [  DEBUG     ] | MainThread config.py 48 | Config already exists
2024-02-08 00:06:37,864   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:06:37,864   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-08 00:06:37,864   [  INFO      ] | MainThread config.py 66 | Image path: 
2024-02-08 00:06:37,865   [  INFO      ] | MainThread config.py 67 | screen resolution: (0, 0)
2024-02-08 00:06:37,865   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-08 00:07:04,169   [  DEBUG     ] | MainThread config.py 46 | ConfigMeta __call__ called
2024-02-08 00:07:04,169   [  DEBUG     ] | MainThread config.py 48 | Config already exists
2024-02-08 00:07:04,169   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:07:04,176   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-08 00:07:04,177   [  INFO      ] | MainThread config.py 66 | Image path: 
2024-02-08 00:07:04,177   [  INFO      ] | MainThread config.py 67 | screen resolution: (0, 0)
2024-02-08 00:07:04,177   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-08 00:09:25,200   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-08 00:09:25,200   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-08 00:09:25,200   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:10:11,794   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-08 00:10:11,794   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-08 00:10:11,795   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:10:18,794   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-08 00:10:18,795   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-08 00:10:18,795   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:10:27,822   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-08 00:10:27,822   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-08 00:10:27,822   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:11:05,028   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-08 00:11:05,029   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-08 00:11:05,029   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:11:05,029   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-08 00:11:05,029   [  INFO      ] | MainThread config.py 60 | Image path: None
2024-02-08 00:11:05,029   [  INFO      ] | MainThread config.py 61 | screen resolution: None
2024-02-08 00:11:05,030   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-08 00:11:11,063   [  DEBUG     ] | MainThread config.py 39 | ConfigMeta __call__ called
2024-02-08 00:11:11,064   [  DEBUG     ] | MainThread config.py 41 | Config already exists
2024-02-08 00:11:11,064   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:11:11,064   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-08 00:11:11,064   [  INFO      ] | MainThread config.py 59 | Image path: None
2024-02-08 00:11:11,064   [  INFO      ] | MainThread config.py 60 | screen resolution: None
2024-02-08 00:11:11,065   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-08 00:11:56,581   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-08 00:11:56,582   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-08 00:11:56,582   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:12:06,941   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-08 00:12:06,941   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-08 00:12:06,942   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:12:06,942   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-08 00:12:06,942   [  INFO      ] | MainThread config.py 60 | Image path: None
2024-02-08 00:12:06,942   [  INFO      ] | MainThread config.py 61 | screen resolution: None
2024-02-08 00:12:06,943   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
